unique_id,Date,forecast_lower,forecast,forecast_upper
1-2,2012-06-01,46921.17265625,48981.7890625,51042.4015625
1-2,2012-06-08,46954.953125,50164.107421875,52055.815625
1-2,2012-06-15,43576.8984375,44759.21875,47326.53828125
1-2,2012-06-22,43475.55703125,44928.12109375,47292.7578125
1-2,2012-06-29,44556.5359375,46954.953125,49691.17890625
1-2,2012-07-06,45941.5390625,47630.5625,50164.105859375006
1-2,2012-07-13,43914.703125,45097.025390625,46921.1734375
1-2,2012-07-20,44894.340625,46279.34375,49049.35
1-2,2012-07-27,44590.31640625,45941.5390625,49083.13046875
1-2,2012-08-03,48948.00859375,51515.328125,53778.623828125004
1-4,2012-06-01,40678.02734375,43776.0234375,45311.55
1-4,2012-06-08,37445.33203125,38926.98828125,39950.672656250004
1-4,2012-06-15,35802.04921875,37175.94140625,38307.3828125
1-4,2012-06-22,35532.65859375,36771.85546875,38011.05234375
1-4,2012-06-29,37984.11328125,39061.68359375,40704.96640625
1-4,2012-07-06,39142.5,42159.67578125,45096.0375
1-4,2012-07-13,35748.17109375,37175.94140625,38900.04921875
1-4,2012-07-20,35236.32890625,37041.24609375,39088.62265625
1-4,2012-07-27,35775.11015625,38388.19921875,39627.40390625
1-4,2012-08-03,39250.25625,42024.98046875,44988.28125
1-8,2012-06-01,38968.865625,40210.076171875,41916.7453125
1-8,2012-06-08,39460.17890625,41244.41796875,44502.600390625
1-8,2012-06-15,37469.07109375,39175.734375,40623.81171875
1-8,2012-06-22,37236.34375,38658.5625,40391.084375
1-8,2012-06-29,36667.45078125,37882.80859375,39098.158593750006
1-8,2012-07-06,40494.519140625,41632.30078125,44864.617578125
1-8,2012-07-13,36124.420703125,37753.515625,39925.633203125
1-8,2012-07-20,35658.96953125,38270.68359375,39692.905859375
1-8,2012-07-27,35400.38359375,37236.34375,39692.905859375
1-8,2012-08-03,38891.290234375,40339.369140625,43080.378125
1-10,2012-06-01,29487.577734375,32852.3916015625,36239.937109375
1-10,2012-06-08,28168.93671875,31033.5732421875,34284.709765625004
1-10,2012-06-15,27282.26171875,32397.685546875,34603.0015625
1-10,2012-06-22,29101.080078125,31488.2763671875,36603.703125
1-10,2012-06-29,29760.4013671875,31601.953125,35239.58984375
1-10,2012-07-06,30647.074609375,31829.3046875,34102.828515625006
1-10,2012-07-13,30010.4896484375,31942.98046875,34966.76484375
1-10,2012-07-20,30578.86875,31488.27734375,32602.3025390625
1-10,2012-07-27,29510.312890625,31829.3046875,34807.61796875
1-10,2012-08-03,29214.7556640625,32170.3330078125,37308.493359375
1-13,2012-06-01,39880.31015625,42889.6171875,45617.678515625004
1-13,2012-06-08,40105.303515625,41342.77734375,42833.36875
1-13,2012-06-15,38530.34375,40217.8046875,42748.99609375
1-13,2012-06-22,38108.480078125,39936.55859375,42327.129296875
1-13,2012-06-29,35127.301171875,38670.96484375,41399.026171875004
1-13,2012-07-06,39936.55859375,42045.88671875,44745.819921875
1-13,2012-07-13,37461.61875,39233.451171875,42383.378125
1-13,2012-07-20,36505.391796875,40077.1796875,44042.71484375
1-13,2012-07-27,36196.021875,39092.830078125,41933.38984375
1-13,2012-08-03,39880.31015625,43452.1015625,47811.375
1-38,2012-06-01,81833.75859375,90794.5234375,98271.72812500001
1-38,2012-06-08,69846.5109375,77145.6796875,83970.09765625
1-38,2012-06-15,72991.6796875,81002.9609375,91031.89453125
1-38,2012-06-22,66463.96875,72991.6796875,77917.1375
1-38,2012-06-29,68778.3375,73585.109375,88480.15546875
1-38,2012-07-06,71745.47734375,80112.8203125,91328.60937500001
1-38,2012-07-13,67472.79921875,75662.10546875,82605.21640625001
