unique_id,Date,residuals,IsHoliday,Type,Size,Temperature,Fuel_Price,CPI,Unemployment,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5
1-10,2011-06-17,-426.3509374999994,0,A,medium,86.41,3.637,214.9980596,7.682,0.0,0.0,0.0,0.0,0.0
1-10,2011-06-24,-734.5664453124991,0,A,medium,83.58,3.594,215.0910982,7.682,0.0,0.0,0.0,0.0,0.0
1-10,2011-07-01,-294.06070312500015,0,A,medium,85.55,3.524,215.1841368,7.962,0.0,0.0,0.0,0.0,0.0
1-10,2011-07-08,-87.49468749999869,0,A,medium,85.83,3.48,215.2771754,7.962,0.0,0.0,0.0,0.0,0.0
1-10,2011-07-15,-1674.0031249999993,0,A,medium,88.54,3.575,215.3611087,7.962,0.0,0.0,0.0,0.0,0.0
1-10,2011-07-22,-1509.7621875000004,0,A,medium,85.77,3.651,215.4222784,7.962,0.0,0.0,0.0,0.0,0.0
1-10,2011-07-29,-1455.7148046875009,0,A,medium,86.83,3.682,215.4834482,7.962,0.0,0.0,0.0,0.0,0.0
1-10,2011-08-05,994.3266796874996,0,A,medium,91.65,3.684,215.544618,7.962,0.0,0.0,0.0,0.0,0.0
1-10,2011-08-12,44.45691406249898,0,A,medium,90.76,3.638,215.6057878,7.962,0.0,0.0,0.0,0.0,0.0
1-10,2011-08-19,-2295.9653906249987,0,A,medium,89.94,3.554,215.6693107,7.962,0.0,0.0,0.0,0.0,0.0
1-10,2011-08-26,323.49863281250146,0,A,medium,87.96,3.523,215.7332258,7.962,0.0,0.0,0.0,0.0,0.0
1-10,2011-09-02,-373.594843750001,0,A,medium,87.83,3.533,215.7971409,7.962,0.0,0.0,0.0,0.0,0.0
1-10,2011-09-09,-471.78371093749956,1,A,medium,76.0,3.546,215.861056,7.962,0.0,0.0,0.0,0.0,0.0
1-10,2011-09-16,1476.5382421875001,0,A,medium,79.94,3.526,216.0410526,7.962,0.0,0.0,0.0,0.0,0.0
1-10,2011-09-23,-1760.9228906249991,0,A,medium,75.8,3.467,216.3758246,7.962,0.0,0.0,0.0,0.0,0.0
1-10,2011-09-30,960.991328125001,0,A,medium,79.69,3.355,216.7105965,7.962,0.0,0.0,0.0,0.0,0.0
1-10,2011-10-07,1338.9213281250013,0,A,medium,69.31,3.285,217.0453684,7.866,0.0,0.0,0.0,0.0,0.0
1-10,2011-10-14,-991.4584375000013,0,A,medium,71.74,3.274,217.3552733,7.866,0.0,0.0,0.0,0.0,0.0
1-10,2011-10-21,-1236.5021874999984,0,A,medium,63.71,3.353,217.5159762,7.866,0.0,0.0,0.0,0.0,0.0
1-10,2011-10-28,-1802.8348828125017,0,A,medium,66.57,3.372,217.6766791,7.866,0.0,0.0,0.0,0.0,0.0
1-10,2011-11-04,752.7918359374999,0,A,medium,54.98,3.332,217.837382,7.866,0.0,0.0,0.0,0.0,0.0
1-10,2011-11-11,2052.621054687501,0,A,medium,59.11,3.297,217.9980849,7.866,10382.9,6115.67,215.07,2406.62,6551.42
1-10,2011-11-18,-2477.167851562499,0,A,medium,62.25,3.308,218.2205088,7.866,6074.12,254.39,51.98,427.39,5988.57
1-10,2011-11-25,-737.5046484375016,1,A,medium,60.14,3.236,218.4676211,7.866,410.31,98.0,55805.51,8.0,554.92
1-10,2011-12-02,712.3401562500003,0,A,medium,48.91,3.172,218.7147333,7.866,5629.51,68.0,1398.11,2084.64,20475.32
1-10,2011-12-09,665.5338671874997,0,A,medium,43.93,3.158,218.9618456,7.866,4640.65,19.0,105.02,3639.42,14461.82
1-10,2011-12-16,69.77875000000131,0,A,medium,51.63,3.159,219.1794533,7.866,5011.32,67.0,347.37,225.79,4011.37
1-10,2011-12-23,-86.61273437500131,0,A,medium,47.96,3.112,219.3577216,7.866,2725.36,40.48,634.7,24.9,2739.43
1-10,2011-12-30,-3208.391562500001,1,A,medium,44.55,3.129,219.5359898,7.866,5762.1,46011.38,260.36,983.65,4735.78
1-10,2012-01-06,17.440351562501746,0,A,medium,49.01,3.157,219.7142581,7.348,6277.39,21813.16,143.1,1450.13,8483.0
1-10,2012-01-13,-3168.3490625000013,0,A,medium,48.53,3.261,219.8925263,7.348,5183.29,8025.87,42.24,453.08,3719.38
1-10,2012-01-20,-1564.3496874999983,0,A,medium,54.11,3.268,219.9856893,7.348,4139.87,2807.19,33.88,500.62,3400.21
1-10,2012-01-27,-2742.786835937499,0,A,medium,54.26,3.29,220.0788523,7.348,1164.46,1082.74,44.0,11.0,1222.19
1-10,2012-02-03,2423.404023437499,0,A,medium,56.55,3.36,220.1720153,7.348,34577.06,3579.21,160.53,32403.87,5630.4
1-10,2012-02-10,3799.3682812499974,1,A,medium,48.02,3.409,220.2651783,7.348,13925.06,6927.23,101.64,8471.88,6886.04
1-10,2012-02-17,4211.787109375,0,A,medium,45.32,3.51,220.4257586,7.348,9873.33,11062.27,9.8,8409.31,3402.66
1-10,2012-02-24,2469.0220312500023,0,A,medium,57.25,3.555,220.636902,7.348,9349.61,7556.01,3.2,1219.92,8143.59
1-10,2012-03-02,1883.0501562499994,0,A,medium,60.96,3.63,220.8480454,7.348,15441.4,1569.0,10.8,25390.88,8067.61
1-10,2012-03-09,139.27414062499884,0,A,medium,58.76,3.669,221.0591887,7.348,10331.04,151.88,6.0,671.43,5509.84
1-10,2012-03-16,-99.73789062500146,0,A,medium,64.74,3.734,221.2118132,7.348,4298.16,7.5,2.02,2724.65,2017.69
1-10,2012-03-23,23.234531249996508,0,A,medium,65.93,3.787,221.2864126,7.348,6118.56,9.48,4.97,426.72,3657.22
1-10,2012-03-30,8477.532421875003,0,A,medium,67.61,3.845,221.3610119,7.348,10309.58,0.5,10.25,1654.17,2642.78
1-10,2012-04-06,1368.2294531250009,0,A,medium,70.43,3.891,221.4356112,7.143,10121.97,0.0,77.98,3750.59,4510.72
1-10,2012-04-13,-1378.1418750000012,0,A,medium,69.07,3.891,221.5102105,7.143,6186.19,3288.69,17.07,1822.55,1063.78
1-10,2012-04-20,-1042.6150000000016,0,A,medium,66.76,3.877,221.5640737,7.143,2230.8,612.02,19.75,275.13,5747.1
1-10,2012-04-27,-1073.3598828124996,0,A,medium,67.23,3.814,221.6179368,7.143,3221.25,0.0,35.49,577.14,6222.25
1-10,2012-05-04,3550.0135156250035,0,A,medium,75.55,3.749,221.6718,7.143,21290.13,0.0,69.89,4977.35,3261.04
1-10,2012-05-11,-331.03488281249884,0,A,medium,73.77,3.688,221.7256632,7.143,8351.4,0.0,10.52,2443.14,3127.88
1-10,2012-05-18,-1689.9842968750017,0,A,medium,70.33,3.63,221.742674,7.143,6154.14,0.0,45.11,1675.49,5508.18
1-10,2012-05-25,1919.3412109374985,0,A,medium,77.22,3.561,221.744944,7.143,4039.39,0.0,745.19,1429.96,3631.13
1-10,2012-06-01,3362.4036718749994,0,A,medium,77.95,3.501,221.7472139,7.143,6086.21,12.0,370.51,148.75,3690.85
1-10,2012-06-08,1380.1840624999968,0,A,medium,78.3,3.452,221.7494839,7.143,8813.81,116.8,64.55,2652.04,7161.91
1-10,2012-06-15,-1753.520625000001,0,A,medium,79.35,3.393,221.7626421,7.143,5621.99,109.6,0.25,2420.28,3083.26
1-10,2012-06-22,-583.5103125000023,0,A,medium,78.39,3.346,221.8030211,7.143,8624.56,171.25,3.05,2524.07,7063.68
1-10,2012-06-29,-202.1619531250035,0,A,medium,84.88,3.286,221.8434,7.143,3965.73,161.6,0.0,435.99,4212.97
1-10,2012-07-06,6241.645429687502,0,A,medium,81.57,3.227,221.8837789,6.908,12218.76,94.4,192.83,4066.01,6149.04
1-10,2012-07-13,-718.1082031250007,0,A,medium,77.12,3.256,221.9241579,6.908,7218.13,45.2,36.24,3909.38,2596.37
1-10,2012-07-20,-1573.0778515624988,0,A,medium,80.42,3.311,221.9327267,6.908,3213.0,313.72,9.53,2262.02,3228.19
1-10,2012-07-27,-1876.2170703125012,0,A,medium,82.66,3.407,221.9412954,6.908,7146.9,389.02,1.59,10267.54,4325.19
1-10,2012-08-03,-32.42183593750087,0,A,medium,86.11,3.417,221.9498642,6.908,27584.78,119.98,30.23,12007.04,4661.71
1-10,2012-08-10,1444.4201953125012,0,A,medium,85.05,3.494,221.9584329,6.908,11436.22,245.0,6.85,6964.26,4836.22
1-10,2012-08-17,-1396.0476562500007,0,A,medium,84.85,3.571,222.0384109,6.908,3662.06,137.86,4.84,2752.2,3446.15
1-10,2012-08-24,-2867.6918359375013,0,A,medium,77.66,3.62,222.1719457,6.908,6237.83,260.06,2.97,3463.03,7988.25
1-10,2012-08-31,-3383.7242968749997,0,A,medium,80.49,3.638,222.3054805,6.908,21442.73,102.32,21.7,13209.64,3032.96
1-10,2012-09-07,-449.353515625,1,A,medium,83.96,3.73,222.4390153,6.908,5204.68,35.74,50.94,4120.32,2737.17
1-10,2012-09-14,2342.306796875,0,A,medium,74.97,3.717,222.5820193,6.908,17212.52,7.0,18.79,1523.11,7992.72
1-10,2012-09-21,-488.344609374999,0,A,medium,69.87,3.721,222.7818386,6.908,6352.3,7.64,4.69,1010.06,6456.71
1-10,2012-09-28,-3372.2689453124985,0,A,medium,76.08,3.666,222.9816579,6.908,3666.27,7.64,1.65,1417.96,4744.28
1-10,2012-10-05,-3074.1195312499985,0,A,medium,68.55,3.617,223.1814772,6.573,8077.89,0.0,18.22,3617.43,3626.14
1-10,2012-10-12,-791.0305468750012,0,A,medium,62.99,3.601,223.3812965,6.573,2086.18,0.0,8.11,602.36,5926.45
1-10,2012-10-19,-850.051640624999,0,A,medium,67.97,3.594,223.4257233,6.573,950.33,0.0,4.93,80.25,2312.85
1-13,2011-06-17,1568.3256249999977,0,A,medium,86.41,3.637,214.9980596,7.682,0.0,0.0,0.0,0.0,0.0
1-13,2011-06-24,-3198.2706249999974,0,A,medium,83.58,3.594,215.0910982,7.682,0.0,0.0,0.0,0.0,0.0
1-13,2011-07-01,-3648.9146875000006,0,A,medium,85.55,3.524,215.1841368,7.962,0.0,0.0,0.0,0.0,0.0
1-13,2011-07-08,-1474.5271875000035,0,A,medium,85.83,3.48,215.2771754,7.962,0.0,0.0,0.0,0.0,0.0
1-13,2011-07-15,-1010.2854687500003,0,A,medium,88.54,3.575,215.3611087,7.962,0.0,0.0,0.0,0.0,0.0
1-13,2011-07-22,1271.3550781250015,0,A,medium,85.77,3.651,215.4222784,7.962,0.0,0.0,0.0,0.0,0.0
1-13,2011-07-29,-4558.7437500000015,0,A,medium,86.83,3.682,215.4834482,7.962,0.0,0.0,0.0,0.0,0.0
1-13,2011-08-05,4690.8670312500035,0,A,medium,91.65,3.684,215.544618,7.962,0.0,0.0,0.0,0.0,0.0
