Date,forecast,forecast_lower,forecast_upper,unique_id
2012-03-23,48629.665423901366,47551.28264133798,50690.87516569464,1-2
2012-03-30,42891.058236136225,42601.22444928355,49074.508317866625,1-2
2012-04-06,46603.53580947042,46167.36026167293,47557.142340690276,1-2
2012-04-13,48600.53804724546,45717.365903751896,50742.85087534551,1-2
2012-04-20,46904.686044282964,45075.01839547295,48497.54050611411,1-2
2012-04-27,50492.6735688676,50464.357268268905,52313.86801888657,1-2
2012-05-04,48729.17534228235,47592.93899513701,51435.09453891222,1-2
2012-05-11,48677.716645251174,46758.37919585855,50191.4400887498,1-2
2012-05-18,47976.165832479004,45910.91041657272,48132.47602249255,1-2
2012-05-25,51418.27312069022,48570.52967623279,52422.48124151115,1-2
2012-03-23,37935.82566574167,37819.78225995435,39210.20196551621,1-4
2012-03-30,36193.83246568609,35939.67449394126,37458.12980056709,1-4
2012-04-06,36871.504212173764,35986.646812042614,37605.84411854374,1-4
2012-04-13,35908.32589237481,35648.794981896084,38862.16894417174,1-4
2012-04-20,37479.87632654803,36778.8401540949,38132.80034017802,1-4
2012-04-27,38731.607074925036,38728.1386779782,40479.8231275581,1-4
2012-05-04,37414.57029449548,37280.812930876884,38967.71347633754,1-4
2012-05-11,37493.25679413868,36639.79851523169,40060.28010295748,1-4
2012-05-18,37016.070899743805,36499.68683516647,37642.57808505249,1-4
2012-05-25,40961.6336271346,40040.62586686,42125.894164341866,1-4
2012-03-23,34946.17468839862,34946.17468839862,36270.7951861637,1-8
2012-03-30,33965.84845702168,33770.65332643855,35956.90396810649,1-8
2012-04-06,34867.15262383611,33806.47629824454,34993.64322048812,1-8
2012-04-13,35816.528789705546,35167.91250924808,37119.34305250066,1-8
2012-04-20,35162.193942668906,34656.86789648782,35614.27148742071,1-8
2012-04-27,36487.52808313302,36319.527879876434,36501.287608606435,1-8
2012-05-04,37076.31942623195,36637.32429743967,37899.106938106524,1-8
2012-05-11,37575.66960577431,36655.911850427314,37809.39867692692,1-8
