Date,forecast,forecast_lower,forecast_upper,unique_id
2012-08-10,47081.59673308068,45593.68160749621,48629.86646649233,1-2
2012-08-17,45941.809885172726,44684.01408237331,48066.722659249004,1-2
2012-08-24,47156.26838385408,44479.72489643141,49471.08606654451,1-2
2012-08-31,47518.01478568102,46401.194112097306,49885.67685251117,1-2
2012-09-07,48216.11645998506,46271.734861698664,51060.72394130765,1-2
2012-09-14,44565.95963373828,43436.00332184321,47215.073661886454,1-2
2012-09-21,44624.37357174196,42769.88687823142,46837.294310526835,1-2
2012-09-28,45493.1036716396,43215.607095854764,47790.87062640716,1-2
2012-10-05,50095.642907896094,47108.06727036569,52359.545828183356,1-2
2012-10-12,45772.91904457033,43417.457677961494,48071.8635722552,1-2
2012-08-10,38774.73717146868,37860.76950460037,39401.87892036519,1-4
2012-08-17,37263.55227617158,36580.478556597154,38705.17225137204,1-4
2012-08-24,38355.13135215547,36512.289774128934,38893.651975209745,1-4
2012-08-31,40618.34260040223,38928.54524790482,41584.553661648264,1-4
2012-09-07,41000.8894789794,38735.07701766414,41605.4178467081,1-4
2012-09-14,36928.916447648466,36145.42254897887,38266.3897211477,1-4
2012-09-21,36888.43617201176,36006.565823779805,37662.596250417664,1-4
2012-09-28,38196.941086873674,36668.92070354821,38803.59979536948,1-4
2012-10-05,41077.48045799395,39370.08162708567,42865.18458124406,1-4
2012-10-12,37350.631648940034,36133.87600328179,38315.22443791631,1-4
2012-08-10,37566.07557289732,36728.31234262678,38460.983742938,1-8
2012-08-17,36582.28255444699,36049.760482227124,37539.30977974542,1-8
2012-08-24,37742.39422733369,36446.789834345815,38462.956570494076,1-8
2012-08-31,38674.754522825104,37753.20651768269,39965.75160048524,1-8
2012-09-07,38694.04892408343,37185.31483437027,39677.49556161318,1-8
2012-09-14,36500.00134921227,35836.97614409323,37467.68726846537,1-8
2012-09-21,36781.75600745254,35843.619726247445,37335.41180200163,1-8
2012-09-28,36928.22075838744,35791.75417288697,37740.216056542406,1-8
2012-10-05,38557.41350902355,37589.65518115993,40509.85265678029,1-8
2012-10-12,35819.95170185255,35064.02243241134,37226.88068711788,1-8
2012-08-10,31488.27953642028,30642.962701922446,32812.762302889896,1-10
2012-08-17,29710.969963041593,28803.892354156367,31069.019208440663,1-10
2012-08-24,31133.276683910037,29811.79162787817,32910.220107089015,1-10
2012-08-31,33846.280662617966,31488.279634541264,34984.46620599225,1-10
2012-09-07,33334.43428346106,31237.0743054404,35197.494582337735,1-10
2012-09-14,30010.733006331742,29082.907866898706,30836.09327460477,1-10
2012-09-21,29297.36187654775,28066.296562513115,30774.89456100881,1-10
2012-09-28,29581.689158064204,28623.234872727873,31258.640716651516,1-10
2012-10-05,33824.878233611526,31874.22431361411,36054.54241854962,1-10
2012-10-12,29659.26294800482,28667.00446567023,31877.10070742705,1-10
2012-08-10,41052.207353866805,39823.67817889032,41891.97926639461,1-13
2012-08-17,39904.57598542182,39100.64517588257,40814.70760479365,1-13
2012-08-24,39592.633558668065,38306.19300793018,40437.8846556634,1-13
2012-08-31,41692.50044190687,40578.62934236414,42813.883119023914,1-13
2012-09-07,42024.643520686055,40685.33249076104,43052.55778990177,1-13
2012-09-14,38496.292222054006,37811.02791182438,39987.05279492604,1-13
2012-09-21,37875.06489489494,37270.503088305275,39299.428814921,1-13
2012-09-28,39154.21054892625,37595.1666516454,39901.04690846688,1-13
2012-10-05,42487.663886839684,40453.54605678641,43236.17680254255,1-13
2012-10-12,39061.72501169712,37531.14268644975,39935.28236828782,1-13
2012-08-10,76192.51748014949,73093.94900184468,79126.13817112343,1-38
2012-08-17,74845.15440559312,72509.66859199372,79199.6478568977,1-38
2012-08-24,76802.38413500568,71810.87161542306,81903.1452241167,1-38
2012-08-31,81596.70003767438,76964.3779394862,85596.63687746295,1-38
2012-09-07,79857.9331869621,76945.76804803018,86545.66322147513,1-38
2012-09-14,75834.58413954015,71205.27883249984,78363.58866327004,1-38
2012-09-21,76236.78366605197,71338.35266451887,79236.65158091877,1-38
2012-09-28,71792.5155105783,69090.6906796866,78103.87583439016,1-38
2012-10-05,85488.77044561706,79191.69053974152,90714.861038296,1-38
2012-10-12,75012.67939420759,70107.19706592329,80503.66346960087,1-38
2012-08-10,56308.06978816049,55309.612307048454,56896.7974797567,1-40
2012-08-17,55328.02170732806,54510.710956737435,56253.702012289985,1-40
2012-08-24,56376.03185038376,55199.71057881967,57211.81555172587,1-40
2012-08-31,57802.70072389933,56959.63349229221,59040.56775237496,1-40
2012-09-07,57668.47343586864,56240.46753199121,59803.02000920146,1-40
2012-09-14,55801.127136139694,54441.39741434527,56974.790035171005,1-40
2012-09-21,55077.32199626785,53917.971945101686,56045.253591504545,1-40
2012-09-28,56349.53690820081,54863.07297689078,57718.5384920525,1-40
2012-10-05,60106.053162024924,57880.84202278323,61900.18343081158,1-40
2012-10-12,55938.5923185486,54523.857953847284,57673.961353784165,1-40
2012-08-10,37781.20749203411,35291.330366998816,39928.632081316144,1-72
